capitulo,articulo,contenido
CAPÍTULO IV,Artículo 45," Los requisitos que debe cumplir un solicitante al Programa de Becas al Talento Estudiantil son los siguientes:  1.	Registrar su solicitud a través del sitio web del Tecnológico de Monterrey en la sección de Admisiones en la convocatoria del Programa de Becas al Talento Estudiantil. 2.	Realizar las pruebas definidas en el programa y que encontrará en la página web antes mencionada. 3.	Presentar evidencias que demuestren su talento estudiantil. 4.	Ser seleccionado en la Convocatoria al Talento Estudiantil. 5.	Ser admitido al nivel académico solicitado como alumno de primer ingreso y cumplir con el estándar académico establecido para el Programa de Becas al Talento Estudiantil. En casos excepcionales, el Comité Nacional de Becas al Talento Estudiantil puede autorizar la asignación de becas a alumnos de reingreso con base en criterios definidos y siguiendo el procedimiento establecido para ello. "
CAPÍTULO IV,Artículo 46, Los requisitos que debe cumplir un alumno solicitante al Programa de Becas al Talento Emprendedor egresado de PrepaTec o una preparatoria externa que ingresa al nivel de profesional son los siguientes:  1.	Ser solicitante de primer ingreso al primer semestre de profesional. 2.	Registrar su solicitud a través del sitio web del Tecnológico de Monterrey en la convocatoria de Beca al Talento Emprendedor. 3.	Contar con un proyecto de emprendimiento con al menos un pretotipo o prototipo del producto o servicio a desarrollar. 4.	Ser admitido en el nivel de profesional y cumplir con el estándar académico establecido para el Programa de Becas al Talento Emprendedor. 5.	Ser seleccionado en la Convocatoria del Programa de Becas al Talento Emprendedor. 
CAPÍTULO IV,Artículo 47," Los requisitos que debe cumplir un alumno solicitante al Programa de Becas al Talento Creativo egresado de PrepaTec o de una preparatoria externa que ingre- sa al nivel de profesional son los siguientes:  1.	Ser solicitante de primer ingreso al primer semestre para estudiar una carrera profesional del área de Estudios Creativos o de Ambiente Construido. No aplica para la carrera de Ingeniero Civil.    2.	Registrar su solicitud a través del sitio web del Tecnológico de Monterrey en la convocatoria de Beca al Talento Creativo. 3.	Contar con al menos dos proyectos de propia autoría en alguna de las siguientes áreas: audiovisual, espacial, gráfico y visual, textual y escrito, sonoro y musical. 4.	Ser admitido a uno de los programas mencionados en el punto 1. 5.	Ser seleccionado en la Convocatoria del Programa de Becas al Talento Creativo. "
CAPÍTULO IV,Artículo 48," Los requisitos para solicitar préstamo educativo en cualquier programa de nivel profesional son:  1.	Llenar una solicitud de apoyo educativo en línea y seguir el proceso completo, incluyendo realizar el pago de la cuota establecida para cubrir el costo administrativo del proceso. 2.	No estar condicionado académicamente por la Dirección de Servicios Escolares. 3.	No contar con otros préstamos educativos externos. 4.	Contar con un promedio acumulado en su plan de estudios de al menos 70/100. 5.	Contar con un obligado solidario para la formalización del préstamo educativo. "
CAPÍTULO IV,Artículo 49," Si un solicitante aplica simultáneamente a más de un programa de becas, una vez asignadas las mismas, deberá elegir aquella que más convenga a sus intereses, incluyendo aquellas becas con fondos externos donde el Tecnológico esté aportando un porcentaje.                                 "
CAPÍTULO V,Artículo 50," Los requisitos generales de conservación que deberá cumplir el alumno en cualquier programa de becas son:  1.	Aprobar todas las materias o unidades de formación cursadas en el periodo académico o cursos intensivos. 2.	Participar satisfactoriamente en el Programa de Becarios realizando las actividades académicas o formativas relacionadas al programa académico en el que se encuentra inscrito, o bien, de conformidad con lo establecido en cada programa de becas. 3.	Para la aplicación del beneficio de cualquier tipo de Beca, se requiere que el estudiante curse al menos 36 créditos anuales, distribuidos indistintamente entre los periodos regulares o intensivos de un año calendario, tomando en cuenta la definición de carga académica completa. "
CAPÍTULO V,Artículo 51," Es requisito para la conservación de la beca en el Programa Socio-económico que el alumno curse, cada periodo académico, carga académica completa con las materias o unidades de formación correspondientes a su plan de estudios y obtenga un promedio de calificaciones finales en el periodo académico o cursos intensivos que termina, igual o superior a 85/100. "
CAPÍTULO V,Artículo 52," Es requisito para la conservación de la beca en el Programa Excelencia Académica que el alumno curse, cada periodo académico, carga académica completa con las materias o unidades de formación correspondientes a su plan de estudios y obtenga un promedio de calificaciones finales en el periodo académico o cursos intensivos que termina, igual o superior a 90/100. "
CAPÍTULO V,Artículo 53," Es requisito para la conservación de la beca en el Programa Mérito Académico que el alumno curse, cada periodo académico, carga académica completa con    las materias o unidades de formación correspondientes a su plan de estudios y obtenga un promedio de calificaciones finales en el periodo académico o cursos intensivos que termina, igual o superior a 85/100. "
CAPÍTULO V,Artículo 54," Es requisito para la conservación de la beca en el Programa al Talento Académi- co que el alumno curse, cada periodo académico, carga académica completa con las materias o unidades de formación correspondientes a su plan de estu- dios y obtenga un promedio de calificaciones finales en el periodo académico o cursos intensivos que termina, igual o superior a 85/100. "
CAPÍTULO V,Artículo 55," Es requisito para la conservación de una beca en el Programa al Talento Estudiantil participar satisfactoriamente en el Programa de Becarios, cumpliendo con los siguientes dos requisitos:  a.	Realizar las actividades establecidas en su programa de beca ya sea en el equipo o actividad representativa del que forma parte. b.	Mantener un estatus regular en las actividades de su programa de beca, de acuerdo con el procedimiento establecido en el programa de beca correspondiente.  En el caso de las becas por actividades atléticas se otorgarán como máximo dos semestres adicionales a la duración oficial de su programa, contando a partir de su primera inscripción a nivel profesional, y hasta siete semestres en preparatoria. Lo anterior quedará sujeto a que mantengan su elegibilidad de participación en los foros estudiantiles en los que el Tecnológico de Monterrey participa.  En el caso de las becas por actividades artísticas y de liderazgo, la duración será de tres años en el nivel de estudios de preparatoria, y hasta cinco años en el nivel profesional. Es requisito para la conservación de la beca por actividades artísticas y de liderazgo que el alumno obtenga un promedio de calificaciones finales en el periodo académico o cursos intensivos que termina, igual o superior a 80/100. "
CAPÍTULO V,Artículo 56," Es requisito para la conservación de la beca en el Programa al Talento Emprendedor, cursar carga académica de al menos 12 créditos académicos o    el equivalente a 32 unidades académicas en el semestre y obtener un promedio final en el periodo académico o cursos intensivos que termina igual o superior a 80/100 y demostrar un desempeño satisfactorio en las actividades del programa. "
CAPÍTULO V,Artículo 57," Es requisito para la conservación de la beca en el Programa al Talento Creativo, cursar carga académica completa con las materias o unidades de formación correspondientes a su plan de estudios. Obtener un promedio final en el periodo académico o cursos intensivos que termina, igual o superior a 80/100 y demostrar un desempeño satisfactorio en las actividades del programa. "
CAPÍTULO V,Artículo 58," Es requisito para la conservación de la beca en el Programa Líderes del Mañana que el alumno:  a.	Curse, cada periodo académico, carga académica completa con las materias o unidades de formación correspondientes a su plan de estudios. b.	Obtenga un promedio de calificaciones finales en el periodo académico o cursos intensivos que termina, igual o superior a 85/100. "
CAPÍTULO V,Artículo 59," Los alumnos beneficiados con el Programa de Becas Líderes del Mañana deberán participar en el programa de seguimiento académico establecido por el campus.  Asimismo, es recomendable que adicionalmente:  a.	Realicen actividades de voluntariado, que tengan como fin contribuir al fondo de reciprocidad de beca De Líder a Líder, para beneficiar a los jóvenes de México que, con características similares, requieren una oportunidad para estudiar. b.	Participen en actividades o proyectos que tengan como objetivo mejorar la calidad de vida de las personas.  Articulo 60  Los alumnos beneficiados con el Programa de Becas Socioeconómicas, Programa de Becas de Talento Académico, Programa Líderes del Mañana y Programa de Becas Socioeconómicas para Alumnos Extranjeros, podrán dar de baja, de acuerdo con el proceso establecido para ello, materias o unidades    de formación con un máximo de 3 créditos académicos o su equivalente en unidades académicas por semestre, y durante toda su carrera un máximo de 9 créditos académicos o su equivalente en unidades académicas. "
CAPÍTULO V,Artículo 61," Cuando un alumno beneficiado con cualquier Programa de Becas considere hacer un cambio de carrera, deberá dirigir una carta con exposición de motivos al Comité de Apoyos Educativos del campus para que éste documente el cambio y dé su autorización. La autorización de dicho comité podrá ser favorable a cambios de carrera siempre y cuando el número de materias o unidades de formación adicionales a cursar, debido al cambio, sea menor o igual a 36 créditos académicos o su equivalente en unidades académicas con relación al programa original en el que le fue otorgada la beca. "
CAPÍTULO V,Artículo 62," Para la conservación de un préstamo educativo de un alumno que no cuenta con combinación de beca y préstamo educativo, se requiere:  a.	Haber realizado la formalización del préstamo educativo. b.	No estar condicionado académicamente por la Dirección de Servicios Escolares. c.	Estar al corriente en los pagos acordados al recibir el apoyo educativo.  Si un alumno no cumple con los requisitos mencionados, su préstamo educativo será cancelado. "
CAPÍTULO V,Artículo 63," Un alumno en un programa de becas podrá tener los siguientes estatus para su beca, de acuerdo a la tabla de conservación correspondiente a su progama de becas:  a.	Regular: cuando el alumno cumple satisfactoriamente con los requisitos establecidos para la conservación del programa de becas. b.	Sujeto a condición: Cuando el alumno tiene un incumplimiento a este reglamento. El alumno recibe un aviso de incumplimiento por escrito y continúa con su beca. c.	Condicionado: Cuando el alumno tiene uno o más incumplimientos a este reglamento. El alumno recibe una llamada de atención por escrito. El alumno continúa con su beca. d.	Reducción: el alumno ha reincidido en incumplimiento, por lo que se reduce    su beca en un 10 %. El alumno puede solicitar, a través de la solicitud de préstamo educativo y de acuerdo con los criterios establecidos, un aumento del 10% de préstamo educativo para no afectar su economía. Esta solicitud requiere autorización del Comité de Becas y Apoyos Educativos. En los casos de becas con estatus de Reducción que cambien a estatus Regular, el porcentaje de beca no se modifica al porcentaje inicial. e.	Cancelación de la beca: es la interrupción definitiva del apoyo, por bajo desempeño académico, de acuerdo con la tabla de conservación del programa de beca. Los alumnos con una cancelación de beca que requieran un apoyo posterior solo podrán solicitar beca socioeconómica al momento de cumplir con los criterios de otorgamiento establecidos. "
CAPÍTULO V,Artículo 64," Las faltas que tienen repercusiones en el estatus de una beca son los siguientes:  a.	Incumplimiento de actividades en el Programa de Becarios. b.	Reprobar una materia o unidad de formación en los siguientes casos: •	Alumnos de nivel preparatoria y de nivel profesional inscritos en planes de estudio anteriores a la edición 2019, el número de materias reprobadas en el periodo es igual al mismo número de faltas. •	Alumnos de nivel profesional inscritos en planes de estudio 2019 y posteriores, el número de faltas se calculará de acuerdo al total de créditos académicos reprobados en el periodo, considerando la siguientes condiciones: Si el alumno ha reprobado 1 crédito académico, entonces tiene 0 faltas. Si el alumno ha reprobado de 2 a 4 créditos académicos, entonces tiene 1 falta. Si el alumno ha reprobado de 5 a 7 créditos académicos, entonces tiene 2 faltas. Si el alumno ha reprobado de 8 a 10 créditos académicos, entonces tiene 3 faltas. Si el alumno ha reprobado de 11 a 18 créditos académicos, entonces tiene 4 faltas.  c.	Obtener un promedio menor al establecido como requisito para la conservación de la beca en su programa.    Cuando un alumno obtenga calificaciones reprobatorias en cursos intensivos, solo se considerarán como faltas, el número de materias o unidades de formación reprobadas, calculado con los criterios definidos en el inciso b. "
CAPÍTULO V,Artículo 65," Los alumnos inscritos en un programa de doble título profesional y beneficiados por un programa de becas:  1.	Aceptan que el apoyo educativo asignado es por el número de créditos académicos de su programa académico primario. Sin embargo, podrá gozar de una extensión del mismo apoyo educativo asignado por el máximo autorizado para los programas que se incluyen en el Anexo I, los cuales podrá utilizar para cubrir los créditos del programa secundario, siempre que cumpla con los requisitos vigentes para la conservación del apoyo educativo, en sustitución a lo dispuesto en el Artículo 60. 2.	Aceptan que la beca asignada corresponde solo para el programa académico primario sujeta a las disposiciones vigentes en el Reglamento de Becas y Prestamos Educativos para los Alumnos de Preparatoria y Profesional. 3.	Podrán utilizar la extensión de su beca para cursar unidades de formación de su programa secundario al mismo tiempo. Los dos títulos profesionales los obtendrán al mismo tiempo, siempre que cumplan con los requisitos de graduación de ambos programas. 4.	Podrán solicitar préstamos educativos temporales aplicable al programa que decidan cumpliendo con los requisitos establecidos. 5.	Podrán solicitar apoyo educativo complementario, el cual en caso de autorizarse se otorgará como préstamo educativo. Podrán solicitar apoyo educativo complementario, el cual en caso de autorizarse se otorgará como préstamo educativo. 6.	En el caso de alumnos con becas de fondos externos estarán sujetos a las políticas y lineamientos establecidos por el fondo. "
CAPÍTULO V,Artículo 66," Un alumno inscrito en una carrera profesional beneficiado por un programa de becas, que solicite la extensión del apoyo educativo para un doble título profesional, debe cumplir con los siguientes requisitos:  1.	Contar con un promedio acumulado mínimo de 85/100. 2.	Haber cumplido satisfactoriamente con las actividades del Programa de Becarios según corresponda a su programa de becas. 3.	No haber reprobado materias en la carrera profesional en el que se encuentra inscrito.    4.	Haber realizado la solicitud de extensión del apoyo educativo por escrito al Director de Becas del campus para que sea evaluada por el Comité de Apoyos Educativo. "
CAPÍTULO V,Artículo 67," Un alumno inscrito en una carrera profesional de doble titulación, que solicite apoyo educativo, debe cumplir con los siguientes requisitos:  1.	Contar con un promedio acumulado mínimo de 85/100. 2.	No haber reprobado materias en la carrera en el programa en el que se encuentra inscrito. 3.	Haber realizado la solicitud de apoyo educativo para que sea evaluada por el Comité de Apoyos Educativos el campus.  El Comité de Becas y Apoyos Educativos del campus dará a conocer el resultado de la solicitud al solicitante. "
CAPÍTULO V,Artículo 68 A," Si un alumno no cumple con los requisitos de conservación de beca, podrá conservarla en forma condicional considerando los siguientes criterios: •	La evaluación en las actividades del Programa de Becarios. •	El número de materias o unidades de formación reprobadas. •	El promedio obtenido en el semestre o cursos intensivos de verano y el estatus previo.  Evaluados con base en la tabla de conservación de becas del programa de becas según corresponda.  a.	Condiciones de conservación de becas para los programas de: Becas Socioeconómicas, Becas al Talento Académico, Programas de Becas al Talento Emprendedor, Becas al Talento Creativo, Becas de Fondos Externos y Becas Socioeconómicas para Alumnos Extranjeros.  Si el alumno no tiene ninguna falta, entonces su estatus actual en el programa de becas es ""Regular"". Si el alumno tiene una falta, entonces su estatus actual en el programa de becas es ""Condicionado"". Si el alumno cumple con la condición, entonces su estatus es ""Regular"". Si no cumple con la condición, entonces su estatus es ""Reducción"". Si el estatus es ""Reducción"", entonces su beca será cancelada. Si el alumno tiene dos faltas, entonces su estatus actual en el programa de becas es ""Reducción"". Si el alumno cumple con la condición, entonces su beca será cancelada. Si no cumple con la condición, entonces su estatus es ""Cancelación"". Si el estatus es ""Cancelación"", entonces su beca será cancelada. Si el alumno tiene tres o más faltas, entonces su estatus actual en el programa de becas es ""Cancelación"". Si el alumno cumple con la condición, entonces su estatus es ""Cancelación"". Si no cumple con la condición, entonces su estatus es ""Cancelación"". Si el estatus es ""Cancelación"", entonces su beca será cancelada.  "
CAPÍTULO V,Artículo 68 B,"   b.	Condiciones de conservación de becas para el Programas de Becas Líderes del Mañana.  Si el promedio del alumno es mayor que 85 sin reprobar materias o unidades de formación, entonces su estatus actual en el programa de becas es ""Regular"". Si el promedio del alumno es mayor que 85 y reprueba 3 créditos académicos o su equivalente en unidades académicas en materias o unidades de formación, entonces su estatus actual en el programa de becas es ""Sujeto a Condición"". Si el alumno cumple con la condición, entonces su estatus es ""Regular"". Si no cumple, entonces su estatus es ""Condicionado"". Si el estatus es ""Condicionado"", entonces el comité revisará la situación del alumno y puede resultar en ""Revisión de Comité"" o ""Cancelación de la beca"". Si el promedio del alumno es mayor que 85 y reprueba 6 o más créditos académicos o su equivalente en unidades académicas en materias o unidades de formación, entonces su estatus actual en el programa de becas es ""Condicionado"". Si el alumno cumple con la condición, entonces el comité revisará su situación y puede resultar en ""Revisión de Comité"" o ""Cancelación de la beca"". Si no cumple con la condición, entonces su estatus es ""Cancelación de la beca"". Si el promedio del alumno es menor que 85 y no reprueba materias o unidades de formación, entonces su estatus actual en el programa de becas es ""Sujeto a Condición"". Si el alumno cumple con la condición, entonces su estatus es ""Regular"". Si no cumple, entonces su estatus es ""Condicionado"". Si el estatus es ""Condicionado"", entonces el comité revisará la situación del alumno y puede resultar en ""Revisión de Comité"" o ""Cancelación de la beca"". Si el promedio del alumno es menor que 85 y reprueba 3 créditos académicos o su equivalente en materias o unidades de formación, entonces su estatus actual en el programa de becas es ""Condicionado"". Si el alumno cumple con la condición, entonces el comité revisará su situación y puede resultar en ""Revisión de Comité"" o ""Cancelación de la beca"". Si no cumple con la condición, entonces su estatus es ""Cancelación de la beca"". Si el promedio del alumno es menor que 85 y reprueba 6 o más créditos académicos o su equivalente en unidades académicas en materias o unidades de formación, entonces su estatus actual en el programa de becas es ""Comité"". Si el alumno cumple con la condición, entonces el comité revisará su situación y puede resultar en ""Revisión de Comité"" o ""Cancelación de la beca"". Si no cumple con la condición, entonces su estatus es ""Cancelación de la beca"".   "
CAPÍTULO V,Artículo 68  C,"  Condiciones de conservación de becas para el Programa de Becas al Talento Estudiantil-Atléticas.  Cuando en el estatus de beca se indique “Comité”, implica que el Comité de Becas al Talento Estudiantil evaluará la situación del alumno y determinará si el nuevo estatus de beca es “condicionado” o “cancelado”.  Si el estatus académico escolar es ""Regular"" y la evaluación atlética es ""Cumple"", entonces el estatus de beca para el siguiente periodo es ""Regular"". Si el estatus académico escolar es ""Regular"" y la evaluación atlética es ""No cumple"", entonces el estatus de beca para el siguiente periodo dependerá de si el estudiante cumple con los requisitos en la evaluación del periodo actual. Si cumple, entonces su estatus de beca para el siguiente periodo será ""Regular"". Si no cumple, entonces su estatus de beca para el siguiente periodo será decidido por un comité.  Si el estatus académico escolar es ""Condicionado"", entonces el estatus de beca para el siguiente periodo dependerá de si el estudiante cumple con los requisitos en la evaluación del periodo actual y de la evaluación atlética. Si cumple con ambos, entonces su estatus de beca para el siguiente periodo será decidido por un comité. Si no cumple con alguno de ellos, entonces su beca será cancelada. Si el estatus académico escolar es ""Comité"", entonces el estatus de beca para el siguiente periodo será decidido por un comité. Si el comité decide que el estudiante cumple con los requisitos, entonces su estatus de beca será “condicionado”. Si el comité decide que el estudiante no cumple con los requisitos, entonces su beca será cancelada. "
CAPÍTULO V,Artículo 68 D,"  Condiciones de conservación de becas para el Programas de Becas al Talento Estudiantil-Artísticas y de Liderazgo.  Si la evaluación académica del alumno es ""Ninguna falta"" y cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Regular"". Si la evaluación académica del alumno es ""Una falta"" y cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Sujeto a condición"". Si el alumno cumple con la condición, entonces su estatus es ""Regular"". Si no cumple, entonces su estatus es ""Condicionado"". Si el estatus es ""Condicionado"", entonces su beca será reducida. Si la evaluación académica del alumno es ""Dos faltas"" y cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Condicionado"". Si el alumno cumple con la condición, entonces su beca será reducida. Si no cumple con la condición, entonces su estatus es ""Comité"". Si el estatus es ""Comité"", entonces el comité revisará la situación del alumno y puede resultar en ""Reducción"" o ""Cancelado"". Si la evaluación académica del alumno es ""Tres o más faltas"" y cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Condicionado"". Si el alumno cumple con la condición, entonces su estatus es ""Comité"". Si no cumple con la condición, entonces su estatus es ""Cancelado"". Si la evaluación académica del alumno es ""Ninguna falta"" y no cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Condicionado"". Si el alumno cumple con la condición, entonces su estatus es ""Condicionado"". Si no cumple con la condición, entonces su estatus es ""Comité"". Si el estatus es ""Comité"", entonces el comité revisará la situación del alumno y puede resultar en ""Reducción"" o ""Cancelado"". Si la evaluación académica del alumno es ""Una falta"" y no cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Reducción"". Si el alumno cumple con la condición, entonces su beca será reducida. Si no cumple con la condición, entonces su estatus es ""Cancelado"". Si la evaluación académica del alumno es ""Dos faltas"" y no cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Reducción"". Si el alumno cumple con la condición, entonces su beca será reducida. Si no cumple con la condición, entonces su estatus es ""Comité"". Si el estatus es ""Comité"", entonces el comité revisará la situación del alumno y puede resultar en ""Reducción"" o ""Cancelado"". Si la evaluación académica del alumno es ""Tres o más faltas"" y no cumple con la evaluación artística o de liderazgo, entonces su estatus de beca actual es ""Comité"". Si el alumno cumple con la condición, entonces su estatus es ""Cancelado"". Si no cumple con la condición, entonces su estatus es ""Cancelado"".  Cuando un alumno con beca al talento estudiantil por actividades artísticas o de liderazgo obtenga Estatus Académico Condicionado, dictaminado por la Dirección de Servicios Escolares, su situación será revisada por el Comité de Becas al Talento Estudiantil del Campus para determinar si la beca del alumno, será reducida o cancelada para el siguiente periodo.  La evaluación de desempeño estudiantil en actividades atléticas, artísticas o de liderazgo se realizará de acuerdo con los procesos establecidos en la institución para ese propósito y la calificación se expresa en números enteros, en una escala de uno a 100.  Para efecto de este reglamento se consideran los siguientes puntajes para evaluar el cumplimiento del alumno en actividades atléticas, artísticas o de liderazgo:  1.	Cumple: si obtiene al menos 85/100 puntos. 2.	No cumple: si obtiene 84/100 puntos o menos. "
CAPÍTULO V,Artículo 69," Para los alumnos que disminuyan su porcentaje de beca, pueden solicitar una ampliación de su préstamo educativo hasta un máximo de 25%.                               "
CAPÍTULO VI,Artículo 70," Al Tecnológico de Monterrey le corresponderá:  a.	Asignar los recursos relativos a los apoyos educativos para el periodo para el que fue otorgada la beca y hasta un periodo consecutivo adicional en el caso del Programa de Becas al Talento Académico. b.	Informar a través del Portal de Alumnos a los becarios antes del siguiente periodo escolar cuando sea necesario condicionar o cancelar una beca. c.	Cancelar toda solicitud o beca otorgada, cuando el alumno, becario, institución u organismo incurran en omisión o falsedad en la información o documentación proporcionada. d.	Verificar en cualquier momento el cumplimiento de las obligaciones que establezca este reglamento y otras disposiciones administrativas aplicables. "
CAPÍTULO VI,Artículo 71," Al becario le corresponderá, además de cumplir con el objeto de la beca:  a.	Suscribir la documentación que formaliza la beca o préstamo educativo. b.	Participar cada periodo académico en actividades del Programa de Becarios. c.	Mantener calificaciones con el promedio mínimo establecido en la beca o préstamo educativo asignado. d.	Cumplir las obligaciones que establezca este reglamento y otras disposiciones administrativas aplicables. e.	En el caso de becarios del Programa de Becas Líderes del Mañana, solicitar oportunamente, cuando lo requiera, la suspensión por un periodo de su beca, así como, su reactivación. f.	Revisar cada semestre el estatus de conservación de su beca a través del Portal de Alumnos. "
CAPÍTULO VI,Artículo 72," Todo solicitante o becario debe conducirse de manera congruente con las reglas y valores establecidos en la normatividad institucional, la Visión, el Código de Ética y la cultura del Tecnológico de Monterrey:    a.	Cuando un solicitante o becario incurra en alguna acción u omisión que represente una falta, provocará que le sea cancelado de inmediato el apoyo educativo o su proceso de solicitud de apoyo educativo. b.	Igualmente, considerando que intentar cursar estudios de un nivel superior sin acreditar fehacientemente la culminación del nivel inferior implica recurrir a mecanismos engañosos en contra de la Institución, aquel solicitante o becario que incurra en una violación de ciclo o que se le retiré su admisión por cualquier causa, será cancelada su solicitud o se dará por terminado el apoyo educativo otorgado.  Únicamente cuando la Vicerrectoría de Innovación Educativa y Normatividad Académica lo estime necesario, podrá turnar la falta cometida y la consecuencia a un comité, conformado por al menos 3 personas , para que lo analice, para que lo analice. El comité revisará las evidencias y emitirá una opinión sobre la viabilidad o no de que el estudiante prosiga su proceso de solicitud de apoyo educativo o continúe con el apoyo educativo asignado. Dicha opinión será inapelable y definitiva.  Las consecuencias previstas tales como cancelación de trámite de solicitud de apoyo educativo o terminación de apoyo educativo asignado, son particular e independientemente establecidas como parte de este reglamento y no se considerarán como consecuencias disciplinarias ni de ninguna otra índole. "
CAPÍTULO VI,Artículo 73," Todo solicitante o becario que incurra en una violación de ciclo o que se le retiré su admisión por cualquier causa, se le cancelará su solicitud o apoyo educativo otorgado. En en caso de que el candidato vuelva a quedar admitido en la Institución, deberá realizar el trámite completo de apoyo educativo y cumplir con los requisitos que marque este reglamento. "
CAPÍTULO VI,Artículo 74, El Vicerrector de Innovación Educativa y Normatividad Académica del Tecnológico de Monterrey determinará la solución adecuada para cualquier situación no prevista en este reglamento.                               
CAPÍTULO VII,Artículo 75, Un alumno beneficiado con una beca asignada por el Tecnológico de Monterrey debe participar en el Programa de Becarios. Los alumnos con becas de fondos externos al Tecnológico de Monterrey podrán participar en este programa cuando así lo determina el donante o Institución que otorga la beca. 
CAPÍTULO VII,Artículo 76," Los becarios deben participar en el Programa de Becarios de la siguiente manera: a.	El Programa de Becarios inicia a partir de la segunda semana de clases del periodo semestral y termina la penúltima semana de clases. b.	El tiempo que un alumno debe dedicar a las actividades del Programa de Becarios durante el período semestral y de clínicas es de 80 horas al semestre y 25 horas en un período intensivo. Se podrán asignar actividades en uno o más proyectos dentro del período académico dependiendo de la necesidad de los proyectos, así como la duración de los mismos. c.	El alumno debe seleccionar de la lista de proyectos disponibles en Programa de Becarios la propuesta de actividades a realizar durante el semestre o periodo intensivo. En el caso de los alumnos con becas de Talento Artístico, Atlético, Liderazgo, Talento Emprendimiento, Talento Creativo y Líderes del Mañana, deben participar en las actividades establecidas en cada tipo de beca.  Los alumnos que sean candidatos a graduarse de una carrera profesional y mantengan un estatus de regular/satisfactorio en el Programa de Becarios, quedan exentos de realizar actividades en el Programa de Becarios, exceptuando a los alumnos con beca de Talento Artístico, Atlético, Liderazgo, Talento Emprendedor, Talento Creativo y Líderes del Mañana. "
CAPÍTULO VII,Artículo 77," Un alumno debe realizar las actividades del Programa de Becarios en cualquiera de los siguientes formatos:  a.	Presencial: se realizan dentro de las instalaciones del campus y en el horario en el que convenga a las partes involucradas. El material que el alumno requiera para llevar a cabo las actividades debe ser facilitado por    el Tecnológico de Monterrey ya sea de manera presencial o por medios electrónicos. b.	En línea: cuando las actividades se realizan por medios electrónicos, ya sea de común acuerdo entre el responsable del proyecto y el alumno o cuando el alumno sea asignado a un área fuera de las Instalaciones del campus y deba realizar las actividades en este formato. c.	Híbrida: cuando las actividades se realizan combinando presenciales y en línea, ya sea de común acuerdo entre responsable del proyecto y alumno, o en cuando el alumno sea asignado a un área fuera de las instalaciones del campus y deba realizar las actividades en este formato. "
CAPÍTULO VII,Artículo 78," Las actividades del Programa de Becarios, deben ser definidas en proyectos propios del campus origen del alumno o en proyectos nacionales. "
CAPÍTULO VII,Artículo 79," Los alumnos de preparatoria deben participar en el Programa de Becarios a partir de tercer semestre; a excepción de los alumnos con beca de Talento Artístico, Liderazgo y Atlético ya que forman parte de los equipos representativos del Instituto. En el caso de alumnos de nivel profesional, deben participar a partir del segundo semestre de otorgada la beca; exceptuando a los alumnos con beca de Talento Artístico, Atlético, Liderazgo, Talento Emprendedor, Talento Creativo y Líderes del Mañana. "
CAPÍTULO VII,Artículo 80," Cuando un alumno participe en un programa de intercambio internacional, olamente podrá ser asignado a proyectos de valor dirigidos a alumnos en programas de intercambio. "
CAPÍTULO VII,Artículo 81, Un alumno becado debe realizar las actividades del Programa de Becarios de acuerdo con la Ley Federal de Protección de Datos Personales en Posesión de Particulares. 
CAPÍTULO VII,Artículo 82," El alumno debe recibir asesoría y recursos del responsable del proyecto para llevar a cabo las actividades del Programa de Becarios, así como la evaluación al cierre del período académico correspondiente.   "
CAPÍTULO VII,Artículo 83," El estatus de un alumno en el Programa de Becarios, al concluir el periodo académico semestral o periodo intensivo, debe evaluarse con los siguientes criterios:  a.	Regular. Cuando el alumno cumple satisfactoriamente con las actividades del programa. b.	Incumplimiento. Cuando el alumno no realizó de manera satisfactoria las actividades del programa, mismo que le será notificado por escrito.  Si la evaluación del semestre del alumno es ""Satisfactorio"" y la evaluación del periodo intensivo es ""Satisfactorio"", entonces su estatus en el Programa de Becarios es ""Regular"". Si la evaluación del semestre del alumno es ""Satisfactorio"" y la evaluación del periodo intensivo es ""No satisfactorio"", entonces su estatus en el Programa de Becarios es ""Incumplimiento"". Si la evaluación del semestre del alumno es ""No satisfactorio"" y la evaluación del periodo intensivo es ""Satisfactorio"", entonces su estatus en el Programa de Becarios es ""Incumplimiento"". Si la evaluación del semestre del alumno es ""No satisfactorio"" y la evaluación del periodo intensivo es ""No satisfactorio"", entonces su estatus en el Programa de Becarios es ""Incumplimiento"". Si la evaluación del semestre del alumno es ""Satisfactorio"" y no hay evaluación del periodo intensivo disponible, entonces su estatus en el Programa de Becarios es ""Regular"". Si la evaluación del semestre del alumno es ""No satisfactorio"" y no hay evaluación del periodo intensivo disponible, entonces su estatus en el Programa de Becarios es ""Incumplimiento"".   "
