documento,capitulo,articulo,contenido
reglamento,CAPÍTULO VII,Artículo 7.3," El alumno que haya cursado parte de sus estudios en otra institución podrá obtener la Mención Honorífica o la Mención Honorífica de Excelencia, si demuestra tener un promedio igual o superior a 90 en los estudios realizados fuera del Tecnológico de Monterrey y también un promedio igual o superior a 90 en los estudios realizados en el Tecnológico de Monterrey, siempre y cuando cumpla con los requisitos de cada una de estas menciones.                               "
reglamento,CAPÍTULO VIII,Artículo 8.1," Se define como estatus académico la situación del alumno con base en las calificaciones finales. Un alumno podrá tener los estatus siguientes:  1.	Regular. 2.	Condicional. 3.	Condicionamiento por Faltas a la Integridad Académica. 4.	Baja Académica. 5.	Baja por Faltas a la Integridad Académica.  Las particularidades de las faltas a la integridad académica son tratadas en el Capítulo IX de este reglamento.  El cálculo del estatus académico definido en este capítulo, no toma en cuenta las calificaciones obtenidas en las unidades de formación de nivel introductorio regis- tradas en la sección del semestre de introducción, de acuerdo con lo establecido por la Vicerrectoría de Innovación Educativa y Normatividad Académica "
reglamento,CAPÍTULO VIII,Artículo 8.2," Tendrá estatus académico Regular, el alumno que no se encuentre dentro de las condiciones académicas de Condicional, Baja Académica o Baja por Faltas a la Integridad Académica.  Los alumnos con estatus Regular no tendrán impedimentos académicos para reinscribirse en cualquier campus del Tecnológico de Monterrey. "
reglamento,CAPÍTULO VIII,Artículo 8.3," Tendrá el estatus Condicional el alumno que, siendo Regular, al finalizar un periodo académico, incurra en alguna de las siguientes situaciones de número de créditos académicos reprobados en las unidades de formación:  1.	Doce créditos académicos o más.    2.	Nueve créditos académicos o más en un periodo académico semestral.  Se tomarán en cuenta los resultados de todas las unidades de formación, in- cluyendo Semanas Tec, cursadas por el alumno, aunque hubiere ocurrido un cambio de carrera o área de exploración. Se tomarán en cuenta los resultados de las unidades de formación cursadas por los alumnos en todos los periodos académicos, incluyendo los periodos intensivos; a excepción de las unidades de formación de nivel introductorio registradas en la sección del semestre de introduc- ción, de acuerdo con lo establecido por la Vicerrectoría de Innovación Educativa y Normatividad Académica.  Para el caso de los alumnos de las carreras de la Escuela de Medicina y Ciencias de la Salud, para determinar este estatus, se considerarán dos periodos trimes- trales como equivalentes a un periodo académico semestral. "
reglamento,CAPÍTULO VIII,Artículo 8.4," El alumno con estatus Condicional:  1.	Debe registrarse y cumplir con los lineamientos del Programa de Mejoramiento Académico establecido por la Vicerrectoría de Innovación Educativa y Normatividad Académica. 2.	Dejará este estatus y se convertirá en Regular cuando apruebe todas las unidades de formación en las que haya estado inscrito durante el último periodo académico semestral, siempre y cuando no haya acumulado 18 o más créditos académicos reprobados; en este caso, el estatus Condicional permanecerá durante todos sus estudios de nivel profesional. "
reglamento,CAPÍTULO VIII,Artículo 8.5," Tendrá estatus de Condicionamiento por Faltas a la Integridad Académica, aquel alumno que haya sido sancionado por el Comité de Integridad Académica de Campus, conforme a lo que se describe en el Capítulo IX del presente reglamento. Cuando el alumno tenga el estatus de condicionamiento por Faltas a la Integridad Académica, su permanencia en la Institución quedará sujeta a no cometer otra falta a la integridad académica que amerite dicho estatus. El Condicionamiento por Faltas a la Integridad Académica tendrá vigencia hasta la terminación del nivel de estudios que se cursa, e impedirá al alumno recibir alguna mención honorífica.   "
reglamento,CAPÍTULO VIII,Artículo 8.6," Tendrá estatus de Baja Académica el alumno que incurra en alguna de las siguientes condiciones:  1.	Estando en el estatus de Condicional no se registre o cumpla los lineamientos del Programa de Mejoramiento Académico. 2.	Repruebe 24 créditos académicos o más antes de acreditar el cincuenta por ciento de los créditos de un área de exploración y/o carrera profesional en que se inscriba. 3.	Repruebe 30 créditos académicos o más.  Para el cálculo de los créditos académicos de las unidades de formación reprobadas, se tomarán en cuenta todas las unidades de formación cursadas por el alumno, incluyendo Semanas Tec, aunque hubiere realizado un cambio de carrera o área de exploración. Se tomarán en cuenta los resultados de las unidades de formación cursadas por los alumnos en todos los periodos académicos, incluyendo los periodos intensivos, a excepción de las unidades de formación de nivel introductorio registradas en la sección del semestre de introducción, de acuerdo con lo establecido por la Vicerrectoría de Innovación Educativa. y Normatividad Académica.  Para elcasodelosalumnosdelascarreras de la Escuela de Medicina y Ciencias de la Salud, para determinar este estatus, se considerarán dos periodos trimestrales como equivalentes a un periodo académico semestral.  Si el alumno incurre en estatus de Baja Académica, al mismo tiempo que en estatus Condicional, se aplicará el estatus de Baja Académica. "
reglamento,CAPÍTULO VIII,Artículo 8.7," Un alumno con estatus de Baja Académica podrá ser readmitido si adquirió este estatus en el periodo en el que, de haber aprobado todas sus unidades de formación, hubiera concluido el plan de estudios de su carrera. Este caso será juzgado por un comité, cuya conformación y proceso será definido por la Vicerrectoría de Innovación Educativa y Normatividad Académica. Dicho comité podrá decidir:  1.	Su readmisión inmediata a la Institución. 2.	Su readmisión postergada a la Institución. 3.	La ratificación de la Baja Académica en el nivel de profesional.   "
reglamento,CAPÍTULO VIII,Artículo 8.8," Para los alumnos que no se reinscriben consecutivamente en los periodos académicos semestrales o trimestrales y/o solicitan una baja total de sus unidades de formación, y sean admitidos nuevamente, se tomarán en cuenta las unidades de formación reprobadas que hayan acumulado en el nivel profesional, así como el avance en la carrera en la que sea readmitido; a excepción de los alumnos que hayan recibido un título profesional del Tecnológico de Monterrey y desean cursar una segunda carrera profesional; en estos casos, al ser admitidos a una segunda carrera, solamente se considerarán las unidades de formación reprobadas que son equivalentes en la nueva carrera profesional o área de exploración.  Si un alumno se encuentra inscrito en más de una carrera profesional o área de exploración, e incurre en alguno de los estatus Condicional o Baja Académica, este estatus aplicará para todas las carreras profesionales o áreas de exploración en las que se inscriba.                               "
reglamento,CAPÍTULO IX,Artículo 9.1," Se entiende por Integridad Académica el actuar honesto, comprometido, con- fiable, responsable, justo y respetuoso en el aprendizaje, la investigación y la difusión de la cultura. Se considera falta a la integridad académica toda aquella acción u omisión individual o colectiva de los alumnos que se cometa dentro o fuera del salón de clases, que atente contra los principios de la integridad acadé- mica y/o que busque obtener o facilitar un beneficio o ventaja académica. Son ejemplos de este tipo de acciones u omisiones: la copia o tentativa de co- pia en cualquier tipo de examen o actividad de aprendizaje; el plagio parcial o total; facilitar alguna actividad o material para que sea copiada y/o presentada como propia; la suplantación de identidad; acceder y/o manipular, sin autoriza- ción expresa, cuentas de correo electrónico o sistemas institucionales; falsear información; alterar documentos académicos; vender o comprar exámenes o distribuirlos mediante cualquier modalidad; sustraer u obtener información de manera indebida o intentar sobornar a un profesor o cualquier colaborador de la Institución; y la alteración indebida de expedientes clínicos.  Los ejemplos mencionados en el párrafo anterior son enunciativos, más no limitativos. "
reglamento,CAPÍTULO IX,Artículo 9.2," Cualquier alumno, miembro del personal académico, autoridad institucional, integrante de la comunidad educativa o entidades externas vinculadas al proceso académico que tengan conocimiento de algún acto que pueda constituir una falta a la integridad académica, deberán comunicarlo por escrito al Comité de Integridad Académica de Campus a través de los medios destinados para ello, incluyendo toda la información y las evidencias con las que cuenten al momento del reporte y que demuestren el hecho. El Comité de Integridad Académica de Campus analizará el caso y notificará al alumno reportado sobre el proceso, así como las posibles consecuencias.   "
reglamento,CAPÍTULO IX,Artículo 9.3," El tratamiento de las faltas a la integridad académica se llevará a cabo de la siguiente manera:  1.	Cuando un alumno cometa un acto contra la integridad académica, su profesor asignará una calificación reprobatoria en la actividad académica correspondiente, módulo o en la calificación final de la unidad de formación. Cuando la calificación reprobatoria sea en la calificación final y se trate de una unidad de formación impartida por un equipo de profesores, deberá haber común acuerdo entre los profesores que la imparten. La calificación reprobatoria asignada por el profesor será inapelable y a esta se sumarán las consecuencias que determine el Comité de Integridad Académica de Campus. 2.	Una vez identificada la falta, el profesor informará al alumno sobre la situación, aplicará la calificación reprobatoria y reportará la falta al Comité de Integridad Académica de Campus. Para ello, debe describir la situación, señalar la calificación reprobatoria asignada y anexar las evidencias con las que cuente. 3.	El Comité de Integridad Académica de Campus, analizará el caso, determinará la gravedad de la falta y la sanción aplicable. Cuando el Comité estime que por su gravedad la falta podría implicar un condicionamiento, una suspensión temporal o una baja definitiva, informará al alumno del inicio del procedimiento y lo citará para ser escuchado en audiencia, en la que aporte pruebas y manifieste lo que considere a su favor. "
reglamento,CAPÍTULO IX,Artículo 9.4," Las consecuencias que puede determinar el Comité de Integridad Académica de Campus podrán ser cualquiera de las siguientes:  a.	Medida formativa: actividades que tienen el propósito de promover la reflexión del alumno sobre lo ocurrido, con la finalidad de desarrollar su conciencia ética y proporcionarle herramientas que le ayuden a tomar decisiones éticas en circunstancias difíciles. En los casos que el alumno no realice la medida formativa en los términos y plazos establecidos por el Comité, tendrá como consecuencia el estatus de condicionamiento por falta a la integridad académica. b.	Medida formativa de último periodo: es una consecuencia aplicable a alumnos candidatos a graduación que hayan incurrido en faltas a la integridad académica e implica que el alumno retrasará su proceso de titulación hasta que concluya con las medidas formativas determinadas    por el Comité de Integridad Académica. Si el alumno cumple con la medida en el tiempo y forma establecidos, podrá continuar con su proceso de titulación; de lo contrario, su incumplimiento podría retrasar dicho proceso hasta por dos periodos académicos, ya sean semestrales, trimestrales o intensivos, no siendo mayor a un año calendario. c.	Estatus de Condicionamiento por Falta a la Integridad Académica: es una condición académica mediante la cual el alumno queda sujeto a no cometer otra falta a la integridad durante el resto de sus estudios, pues cualquier reincidencia podría afectar su permanencia en la Institución. Este estatus se mantiene en el expediente académico del alumno y tiene las siguientes implicaciones: 1.	Imposibilita al alumno para recibir menciones honoríficas al momento de graduarse. 2.	El estatus de condicionamiento queda en el expediente académico del alumno y tiene vigencia hasta la finalización del nivel de estudios que cursa. 3.	El alumno pierde el derecho a presentar la evaluación de regularización del curso en donde ocurrió la falta a la integridad. d.	Condicionamiento y suspensión temporal: implica, además del condicionamiento con las características del inciso anterior, la separación del alumno de la institución de 1 a 4 periodos académicos, ya sean semestrales, trimestrales o intensivos, no siendo mayor a un año calendario. Durante este periodo, el alumno deberá cumplir con el plan de acompañamiento indicado por el Comité de Integridad Académica de Campus para poder solicitar su reincorporación a la institución, manteniendo el estatus de condicionamiento por faltas a la integridad académica. e.	Baja definitiva: consiste en la separación del alumno de la Institución en todos sus campus o sedes, durante el nivel de estudios que está cursando o de manera permanente. "
reglamento,CAPÍTULO IX,Artículo 9.5," Sólo las faltas cuya consecuencia haya sido la aplicación de una suspensión temporal o baja definitiva de la Institución podrán ser apeladas. Cualquier ape- lación deberá presentarse por escrito ante el Comité de Integridad Académica de Campus, a más tardar, cinco días hábiles del calendario escolar, contados a partir de la fecha en que el Comité notificó la consecuencia al alumno. El Comité de Integridad Académica del Campus enviará la apelación al Comité de Integri- dad Académica Nacional, el cual emitirá la resolución final en un plazo máximo de diez días hábiles del calendario escolar, contados a partir de la recepción de la apelación. La resolución del Comité de Integridad Académica Nacional será definitiva e inapelable..   "
reglamento,CAPÍTULO IX,Artículo 9.6," Los alumnos que se encuentran realizando estudios, prácticas profesionales o estancias de investigación en organizaciones y universidades con las que el Tecnológico de Monterrey tenga un convenio de colaboración y lleguen a transgredir alguno de los preceptos relacionados con la integridad académica, serán sancionados conforme a su normativa, así como en lo conducente del presente reglamento. "
reglamento,CAPÍTULO IX,Artículo 9.7 (transitorio)," Este reglamento aplica para todos los alumnos a partir de su promulgación. En lo sucesivo, los casos registrados de “DA” o “Deshonestidad Académica” serán tratados por el Comité de Integridad Académica de Campus como una “falta a la integridad académica”. La calificación DA se sigue considerando como reprobatoria en los mismos términos anteriores, tanto para el cálculo de estatus académico, como de promedio y para el otorgamiento de distinciones académicas.                               "
reglamento,CAPÍTULO X,Artículo 10.1," Dada la trascendencia de este Reglamento Académico para los alumnos de las carreras profesionales, su conocimiento y su observancia son obligatorios para todos los alumnos inscritos, en los planes de estudio, edición 2019 o posteriores, en el Tecnológico de Monterrey. Su desconocimiento no podrá ser utilizado como argumento válido para evitar el cumplimiento de las disposiciones en este contenidas. "
reglamento,CAPÍTULO X,Artículo 10.2," Las Escuelas podrán establecer reglamentos operativos para los programas académicos que administran, siempre que no contravengan lo dispuesto en este reglamento y que sean aprobados por el Senado Académico de Profesional. "
reglamento,CAPÍTULO X,Artículo 10.3," En caso de situaciones excepcionales, el Vicerrector Académico podrá tomar medidas temporales diferentes a las establecidas en este reglamento. "
reglamento,CAPÍTULO X,Artículo 10.4," El Tecnológico de Monterrey es una Institución que busca brindar oportunidades educativas sobre base de equidad y no discriminación. Sin menoscabo de lo anterior, en todo caso, el Tecnológico de Monterrey se reserva el derecho de admisión y de inscripción "
reglamento,CAPÍTULO X,Artículo 10.5," El presente reglamento deberá publicarse en los diferentes portales electrónicos del Tecnológico de Monterrey, a efecto de estar a la disposición general del alumnado y para su obligatoria consulta. En consecuencia, en ningún caso podrá alegarse ignorancia o desconocimiento respecto de las normas contenidas en el presente reglamento.   "
reglamento,CAPÍTULO X,Artículo 10.6," El presente reglamento aplica para los alumnos inscritos en las carreras profesionales con edición 2019, en unidades de formación presenciales y en línea sin importar su periodo de ingreso. "
reglamento,CAPÍTULO X,Artículo 10.7," Cuando en este reglamento se dé una denominación distinta a alguna unidad administrativa, entendiéndose por esta cualquier dirección, departamento o unidad de atención o servicio, establecida con anterioridad al inicio de la vigencia del mismo, los asuntos en trámite serán atendidos por la unidad administrativa con la nueva denominación. "
reglamento,CAPÍTULO X,Artículo 10.8," No obstante, lo dispuesto en el Artículo 10.6 para la consideración de casos que pudieran ser vistos como transitorios debido a cambios en este reglamento, la Dirección de Servicios Escolares del Campus al que pertenezca el alumno puede dictaminar la normativa aplicable en beneficio del alumno.  Los casos no previstos en este reglamento serán estudiados y resueltos por un Comité formado por tres directivos o profesores, representando a las áreas de Servicios Escolares y Académicas."
admisiones,CAPÍTULO I,Artículo 1," Este reglamento tiene como objetivo establecer las bases, requisitos y procedimientos para la admisión al Tecnológico de Monterrey, con el fin de llevar a cabo un proceso de selección de alumnos.  El Tecnológico de Monterrey puede establecer cupos límites y se reserva el derecho de hacer cambios en el proceso de admisión en cualquier momento para asegurar la experiencia y calidad académica de los programas. "
admisiones,CAPÍTULO I,Artículo 2," Las disposiciones contenidas se refieren a los niveles de enseñanza de preparatoria y profesional.  Cuando en este reglamento se dé una denominación distinta a alguna unidad administrativa, entendiéndose por estas cualquier dirección, departamento o unidad de atención o servicio, establecida con anterioridad al inicio de la vigencia del mismo, los asuntos en trámites serán atendidos por la unidad administrativa con la nueva denominación. "
admisiones,CAPÍTULO I,Artículo 3," El Tecnológico de Monterrey busca incorporar alumnos talentosos que posean características afines a los objetivos de la Institución. Por lo anterior, para su admisión el solicitante es evaluado, por un Comité de Admisión, en un proceso integral que considera:  1.	El resultado vigente de la Prueba de Aptitud Académica (PAA). 2.	El promedio general del nivel de estudios anterior. 3.	Un ensayo vigente en el que explique su motivación para ingresar al Tecnológico de Monterrey. 4.	Un currículo vigente en el que mencione sus logros y competencias, tales como: reconocimientos académicos (concursos de oratoria, poesía, debates, olimpiadas de conocimientos, entre otros), logros deportivos y otras actividades cocurriculares (organización estudiantil, de liderazgo y emprendimiento, culturales, de apoyo a la comunidad, entre otras).    5.	Cartas de recomendación, entrevista y otros requisitos a solicitud del Comité de Admisión.  La información proporcionada por el solicitante integra su expediente, el cual deberá completarlo de acuerdo con las fechas límites establecidas para ello. Una vez que el solicitante ha sido dictaminado por el Comité de Admisión podrá conocer la decisión de admisión y el resultado de la Prueba de Aptitud Académica (PAA) realizada en las fechas establecidas y publicadas a través del Portal de Admisiones.  Además de la Prueba de Aptitud Académica, el Scholastic Aptitude Test (SAT), administrado por el College Board es una prueba válida para solicitar admisión. El solicitante debe presentar comprobante oficial vigente del resultado obtenido con el cual se realizará la equivalencia correspondiente a la Prueba de Aptitud Académica.  El solicitante que cuente con alguna evidencia oficial del dominio del idioma inglés autorizado por la Institución, podrá entregarla en el campus al que solicita admisión. En caso de no presentar dicha evidencia o que el resultado obtenido lo amerite, el solicitante debe presentar la evaluación inicial de inglés en el campus antes de llevar a cabo su planeación para el caso de alumnos de profesional al Tecnológico de Monterrey, de acuerdo con los lineamientos establecidos para ello. Para candidatos que solicitan admisión a preparatoria, será indispensable aplicar este examen para recibir el dictamen de admisión, así como a los candidatos a profesional, que el Comité de Admisión lo solicite.  El proceso de admisión se rige de acuerdo con los lineamientos y normativa vigente establecida por la Vicerrectoría de Innovación Educativa y Normatividad Académica. "
admisiones,CAPÍTULO I,Artículo 4," Como parte del proceso de admisión, el solicitante debe entregar los siguientes documentos a la Dirección de Admisiones del campus para poder completar su trámite de admisión al Tecnológico de Monterrey los cuales formarán parte de su expediente:  Los documentos que se deben entregar en la Dirección de Admisiones son:  1.	Original de las dos últimas hojas de la solicitud de admisión con firmas autógrafas y cotejadas contra la identificación oficial del responsable de pagos de colegiatura. 2.	Copia de la identificación oficial con fotografía y firma del responsable de pagos de colegiatura.    3.	Copia de la identificación oficial con fotografía y firma de quien ejerce la patria potestad si el solicitante es menor de edad. 4.	Copia de la identificación con fotografía y firma del solicitante, si es mayor de edad. 5.	Copia impresa o digital del comprobante de promedio acumulado del nivel de estudios anterior, autorizado por el Tecnológico de Monterrey.  Los documentos digitales que se deben anexar al proceso de admisión en línea son:  1.	Acta de nacimiento. 2.	Currículo. 3.	Ensayo. 4.	Elementos adicionales que el Comité de Admisión solicite.  Todo lo anterior de acuerdo con los procedimientos establecidos por la Vicerrectoría de Innovación Educativa y Normatividad Académica. Estos documentos no serán públicos y su uso será de acceso restringido. "
admisiones,CAPÍTULO I,Artículo 5," Los documentos válidos que un solicitante de primer ingreso puede entregar para comprobar el promedio de nivel de estudios anterior son:  a.	Boletas emitidas por instituciones oficiales con el sello y la firma correspondiente. b.	Historia académica, kárdex o transcript de instituciones oficiales con el sello y la firma correspondiente. c.	Certificados finales emitidos por instituciones oficiales con el sello y la firma correspondiente. d.	Acuerdo de revalidación de estudios previos emitido por instituciones oficiales. e.	Constancia de promedios parciales establecida por la Vicerrectoría de Innovación Educativa y Normatividad Académica.  En el caso de estudios realizados en el extranjero se debe considerar lo siguiente:  a.	Si el documento se encuentra en un idioma diferente a español o inglés, deberá incluirse una traducción al español. b.	La equivalencia del promedio a la escala de México se realizará a través de escalas oficiales utilizadas por el Tecnológico de Monterrey.    Los solicitantes que hayan cursado estudios anteriores en el extranjero deben cumplir con los requisitos legales que correspondan para el reconocimiento de dichos estudios en México. "
admisiones,CAPÍTULO I,Artículo 6, Los documentos válidos que un solicitante de primer ingreso puede entregar como identificación con fotografía y firma son:  Para el responsable de pagos de colegiatura y quien ejerce la patria potestad:  a.	Pasaporte. b.	Credencial del IFE/INE. c.	Cartilla militar liberada. d.	Cédula profesional. e.	Identificación oficial del país de origen. f.	Credencial oficial de la Secretaría de la Defensa Nacional o Secretaría de Marina.  Para el solicitante: a.	Pasaporte. b.	Credencial del IFE/INE. c.	Credencial de afiliación del IMSS/ISSSTE. d.	Credencial de la escuela. e.	Credencial de la SEP o de instituciones educativas oficiales. f.	Constancia de la escuela con fotografía. g.	Licencia de conducir. h.	Cartilla militar liberada. i.	Identificación oficial del país de origen.  Los documentos deben estar vigentes al momento de la entrega. 
admisiones,CAPÍTULO I,Artículo 7," El Comité de Admisión está integrado por al menos cinco participantes, representando a las áreas académicas y administrativas. Su principal responsabilidad es emitir el dictamen del estatus de admisión de cada candidato, mediante la revisión de los expedientes entregados.  El Comité de readmisión tiene como responsabilidad evaluar los casos de readmisión.   "
admisiones,CAPÍTULO I,Artículo 8," El Tecnológico de Monterrey ofrece áreas de estudio y/o programas que por su disciplina cuentan con cupos limitados, requisitos adicionales o criterios de ad- misión diferenciados, tanto en preparatoria como en profesional. Adicionalmente, y con el fin de asegurar una experiencia y calidad académica adecuada, existen ciertos campus en el Tecnológico de Monterrey para los que se han declarado cupos limitados para ciertas áreas y/o programas y que se detallan en el Anexo I. "
admisiones,CAPÍTULO I,Artículo 9," Las carreras profesionales que pueden cursarse al mismo tiempo, como carrera profesional primaria y carrera profesional secundaria respectivamente, son las siguientes:  a.	LRI y LTP b.	LEC y LTP c.	LEC y LRI d.	LED y LRI e.	LED y LEC "
admisiones,CAPÍTULO I,Artículo 10," El Comité de Admisión emite el dictamen de admisión con base en los resultados obtenidos por el candidato en el proceso de admisión según se establece en el Artículo 3 de este reglamento. El Comité de Admisión, en caso de requerirlo, podrá solicitar elementos adicionales. El dictamen del estatus de admisión para el período académico solicitado será uno de los siguientes:  a.	Pendiente de decisión (por motivos definidos por el comité). b.	Admitido. c.	No admitido. d.	En lista de espera (para programas académicos con cupo limitado).  Los dictámenes emitidos por el Comité de Admisión son inapelables, así como válidos para cualquier campus del Tecnológico de Monterrey para el programa o área de estudio solicitada y de acuerdo con la vigencia del mismo. El proceso de selección es privado y confidencial, por lo que el Tecnológico de Monterrey se reserva las razones de la decisión de admisión dictaminada. "
admisiones,CAPÍTULO I,Artículo 11," En el caso de un aspirante que cometa una falta de integridad académica durante la prueba de admisión o en su proceso de admisión, y que sea admitido,    se aplicará lo dispuesto en el Reglamento Académico del nivel correspondiente para tratar este tipo de faltas. "
admisiones,CAPÍTULO I,Artículo 12," Un alumno que suspenda su inscripción académica y que solicite su proceso de admisión nuevamente, debe entregar una carta de intención. El Comité de readmisión revisará la solicitud tomando en cuenta su historial académico y, en su caso, podrá solicitar elementos adicionales para emitir el dictamen de readmisión. La decisión de readmisión será inapelable. "
admisiones,CAPÍTULO I,Artículo 13," La Dirección de Admisiones de cada campus debe informar al solicitante el dictamen emitido, mediante el sitio oficial del Tecnológico de Monterrey destinado para este fin, por correo electrónico, de manera presencial en el campus o bien, enviando a su domicilio una carta oficial con el resultado de su solicitud. "
admisiones,CAPÍTULO I,Artículo 14," Un solicitante admitido para un período académico, cuenta con tres semestres a partir del período en que fue admitido para realizar su inscripción por primera vez, siempre y cuando mantenga el nivel académico que mostró al momento de ser evaluado y dictaminado por el Comité de Admisión, el cual podrá solicitar documentos actualizados.  Cuando un solicitante sea dictaminado con el estatus de admisión especial solo podrá realizar su inscripción para el período al que fue admitido.  Algunos programas que por su disciplina cuentan con cupos limitados, requisitos adicionales o criterios de admisión diferenciados, tanto en preparatoria como en profesional, sólo podrán realizar su inscripción para el período al que fue admitido, establecido en la carta de admisión.  Una vez vencida la vigencia de admisión, los solicitantes que deseen inscribirse en un periodo posterior, deberán realizar nuevamente el proceso de admisión de acuerdo con los lineamientos establecidos para ello. "
admisiones,CAPÍTULO I,Artículo 15," Para realizar el proceso de admisión en preparatoria se requiere que el candidato elija un campus y un programa académico; en el caso de profesional se requiere que el candidato elija un campus, área de estudio y/o programa académico. Para algunas áreas de estudio es indispensable elegir programa académico.     Un solicitante no podrá ser admitido en dos campus. Si un alumno está admitido y previo a su primera inscripción desea hacer transferencia de campus y/o cambio a un programa, y dicho programa cuenta con cupo limitado, la transferencia estará sujeta al cupo del campus receptor, si dicho programa cuenta con requisitos complementarios, debe realizar los trámites y cumplir con los criterios diferenciados adicionales para que su expediente sea revisado nuevamente por el Comité de Admisión correspondiente para declarar admisión al programa. "
admisiones,CAPÍTULO I,Artículo 16," Las siguientes disposiciones aplican a los solicitantes no admitidos a un nivel académico, programa académico específico, área de estudio, carrera profesional o a un periodo académico:  a.	A un nivel académico: no podrá solicitar proceso de admisión nuevamente para el mismo nivel académico. b.	A un área de estudio: puede solicitar admisión a la misma área de estudio en un periodo académico posterior, o bien, solicitar admisión en el mismo período académico a otra área de estudio, carrera profesional o programa específico. c.	A un programa específico o carrera profesional: puede solicitar admisión al mismo programa o carrera profesional en un periodo académico posterior, o bien, solicitar admisión en el mismo período académico a otro programa, carrera profesional o área de estudio. d.	En un periodo académico: puede solicitar admisión a un periodo académico posterior, cumpliendo con los requisitos solicitados por el Comité de Admisión. "
admisiones,CAPÍTULO I,Artículo 17," La Dirección de Admisiones de cada campus debe proporcionar a los solicitantes admitidos la información requerida para completar su proceso de inscripción ya sea a través del Portal de Alumnos o mediante el contacto directo con el alumno admitido. Esta información se refiere a: fecha límite para la entrega de documentos oficiales, evaluaciones iniciales requeridas, fechas de inscripción y pagoscorrespondientes. "
admisiones,CAPÍTULO I,Artículo 18," El  expediente  del  solicitante  debe  ser  resguardado  bajo  políticas  de    confidencialidad y de manejo de expedientes en el campus que el solicitante haya seleccionado, a menos de que la solicitud de admisión sea a un programa, área de estudio o carrera profesional designado a un comité especial, en cuyo caso debe ser canalizado al campus correspondiente. "
admisiones,CAPÍTULO I,Artículo 19," Cada inicio de ciclo del proceso de admisiones, la Dirección Nacional de Admisiones publica, en el Portal de Admisiones, información estadística obtenida por los candidatos admitidos en el Tecnológico de Monterrey en años anteriores. "
admisiones,CAPÍTULO I,Artículo 20," El solicitante podrá revisar su estatus de admisión en el sitio oficial del Tecnológico de Monterrey destinado para este fin, recibirá por correo electrónico, en el campus o en su domicilio una carta oficial con el resultado de su solicitud. El proceso de selección es un proceso privado y confidencial y el Tecnológico de Monterrey se reserva las razones y juicios que lo llevan a la admisión o no admisión del solicitante. "
admisiones,CAPÍTULO I,Artículo 21," Un solicitante egresado de las Secundarias HighPoint Internacional School, vinculadas al Tecnológico de Monterrey, que solicite admisión a PrepaTec, tienen admisión siempre que:  a.	Se gradúe con un promedio igual o superior a 80. b.	Complete la solicitud de admisión en línea, adjunte acta de nacimiento. c.	Entregue la información relacionada con el tutor y el responsable del pago de colegiatura.  El solicitante que no cuente con al menos 80 de promedio, deberá realizar el proceso de admisión para el nivel de preparatoria. El proceso de admisión para los egresados de las Secundarias HighPoint International School vinculadas con el Tecnológico de Monterrey no tiene costo. "
admisiones,CAPÍTULO I,Artículo 22," Un solicitante egresado de PrepaTec que solicite admisión al nivel de profesional, tiene admisión siempre que:  a.	Se gradúe con un promedio igual o superior a 80.    b.	Actualice la solicitud de admisión en línea y seleccione el área de estudio o carrera profesional a la que desea inscribirse. c.	Entregue la información relacionada con el tutor y el responsable del pago de colegiatura.  El solicitante que no cuente con 80 de promedio, deberá realizar algunas actividades complementarias en su proceso de admisión, según su caso.  Las solicitudes de admisión a carreras profesionales con cupo limitado o requisitos de admisión diferenciados deben seguir el proceso de admisión establecido para esas carreras profesionales.  El proceso de admisión para los egresados de PrepaTec no tiene costo.                                 "
admisiones,CAPÍTULO II,Artículo 23," Antes de dar inicio a la integración del expediente, el titular de los datos del solicitante (el solicitante mayor de edad, o la patria potestad en caso de solicitantes menores de edad) deberá leer y aceptar los términos de uso de sus datos establecidos en el aviso de privacidad de prospectos y candidatos alojado en la siguiente dirección electrónica https://tec.mx/es/aviso-de-privacidad- prospectos. "
admisiones,CAPÍTULO II,Artículo 24, Los datos y documentos proporcionados por el solicitante para integrar su expediente constituirán una evidencia de haber leído previamente el aviso de privacidad institucional y la aceptación de los términos ahí contenidos. 
admisiones,CAPÍTULO II,Artículo 25, Los datos y documentos proporcionados por el solicitante serán usados para las finalidades primarias y necesarias establecidas en el aviso de privacidad de prospectos y candidatos para cumplir con las obligaciones derivadas de la relación jurídica que el Tecnológico de Monterrey adquiere con el titular para dictaminar su admisión y ofrecer sus servicios educativos una vez que adquiera el carácter de alumno.  Así también los datos podrán ser utilizados para las finalidades secundarias establecida en el aviso de privacidad de prospectos y candidatos. El titular podrá interponer una solicitud de revocación u oposición de consentimiento en cualquier momento a través del proceso de solicitud de derecho ARCO definido en el aviso de privacidad. 
admisiones,CAPÍTULO II,Artículo 26," El Tecnológico de Monterrey no estará obligado a cancelar los datos personales cuando:  a.	Se refiera a las partes de un contrato privado, social o administrativo y sean necesarios para su desarrollo y cumplimiento de las obligaciones adquiridas.    b.	Deban ser tratados por disposición legal. c.	Los demás supuestos que la Ley Federal de Protección de Datos Personales en Posesión de los Particulares disponga. "
admisiones,CAPÍTULO II,Artículo 27," No se considera como tratamiento el uso que se les dé con fines estadísticos o científicos, siempre que no puedan atribuirse a persona determinada o determinable; así como su uso con fines históricos.                               "
